oaci;nombre;departamento;pista_1;pista_2;tora_1;tora_2;toda_1;toda_2;asda_1;asda_2;lda_1;lda_2;elevacion;ancho;temperatura
SKSJ;SAN JOSE DEL GUAVIARE;GUAVIARE;1;19;1500;1500;1500;1500;1500;1500;1500;1500;605;20;33
SKSV;SAN VICENTE DEL CAGUAN;CAQUETA;14;32;1450;1450;1450;1450;1450;1450;1400;1450;883;26;30
SKSM;SANTA MARTA;MAGDALENA;1;19;1700;1700;1700;1700;1700;1700;1700;1700;22;40;34
SKSR;SANTA ROSA DEL SUR;BOLIVAR;10;28;720;720;720;720;720;720;720;720;1903;18;29
SKSL;SANTA ROSALIA;VICHADA;5;23;800;800;800;800;800;800;800;800;500;25;30
SKSA;SARAVENA;ARAUCA;16;34;1200;1200;1200;1200;1200;1200;800;1200;672;30;28
SKSD;SARDINAS;CASANARE;9;27;600;600;600;600;600;600;600;600;540;18;24
SKSO;SOGAMOSO;BOYACA;23/05;23/05;1877;1877;1877;1877;1877;1877;1877;1877;8143;24;18
SKTM;TAME;ARAUCA;7;25;1987;1987;1987;1987;1987;1987;1987;1987;1241;28;29
SKTP;TAPURUCUARA;VAUPES;10;28;450;450;450;450;450;450;450;450;880;15;24
SKTR;TARAIRA;VAUPES;7;25;1130;1130;1130;1130;1130;1130;1130;1130;484;19;32
SKRA;TARAPACA;AMAZONAS;12;30;1029;1029;1029;1029;1029;1029;1029;1029;243;14;27
SKTA;TAURAMENA;CASANARE;7;25;710;710;710;710;710;710;710;710;794;10;25
SKTB;TIBU;NORTE DE S.;9;27;1400;1400;1400;1400;1400;1400;1400;1400;171;18;32
SKMB;TIMBIQUI;CAUCA;16;34;1127;1127;1127;1127;1127;1127;1127;1127;18;12;28
SKTE;TIQUIE;VAUPES;6;24;530;530;530;530;530;530;530;530;630;15;27
SKTI;TOLEMAIDA;TOLIMA;4;22;2800;2800;2800;2800;2800;2800;2800;2800;1656;30;30
SKTL;TOLU;SUCRE;17;35;1350;1350;1350;1350;1350;1350;1350;1350;31;16;28
SKTQ;TRES ESQUINAS;CAQUETA;7;25;1900;1900;1900;1900;1900;1900;1900;1900;650;24;33
SKTD;TRINIDAD;CASANARE;5;23;1148;1148;1148;1148;1148;1148;1148;1148;560;10;26
SKUL;TULUA;VALLE;1;19;1100;1100;1100;1100;1100;1100;1100;1100;3132;45;25
SKCO;TUMACO;NARIÑO;6;24;1600;1600;1600;1600;1600;1600;1600;1600;23;30;30
SKTK;TUNJA;BOYACA;4;22;1100;1100;1100;1100;1100;1100;1100;1100;8954;20;11
SKTU;TURBO;ANTIOQUIA;16;34;1004;1004;1004;1004;1004;1004;1004;1004;7;13;28
SKUB;URIBE;META;12;30;1003;1003;1003;1003;1003;1003;1003;1003;2240;15;23
SKUR;URRAO;ANTIOQUIA;15;33;865;865;865;865;865;865;865;865;6104;10;23
SKVP;VALLEDUPAR;CESAR;2;20;2100;2100;2100;2100;2100;2100;2100;2100;485;30;36
SKVL;VELASQUEZ;BOYACA;16;34;1500;1500;1500;1500;1500;1500;1500;1500;617;18;28
SKVF;VIGIA DEL FUERTE;ANTIOQUIA;14;32;770;770;770;770;770;770;770;770;53;10;28
SKVG;VILLA GARZON;PUTUMAYO;17;35;1300;1300;1300;1300;1300;1300;1300;1300;1246;20;24
SKVN;VILLANUEVA;CASANARE;12;30;1300;1300;1300;1300;1300;1300;1300;1300;662;23;26
SKVV;VILLAVICENCIO;META;5;23;1940;1940;2005;1940;1940;1940;1940;1940;1381;30;32
SKWA;WACARICUARA;VAUPES;2;20;850;850;850;850;850;850;850;850;500;25;27
SKYG;YAPU;VAUPES;5;23;540;540;540;540;540;540;540;540;600;20;27
